title,filename size_bytes,size_bytes,caption
Arizona State University,arizona_state_university_logo,11 KB ,a
Estrella Community College,estrella_community_college_logo,20 KB ,a
University of Toronto,university_of_toronto_logo,33 KB ,a
Laurier University ,laurier_university_logo,53 KB ,a
Northern Arizona University ,northern_arizona_university_logo,23 KB ,a
University of British Colombia ,university_of_british_columbia_logo,13 KB ,a
University of Texas ,university_of_texas_at_austin_logo,27 KB ,a
University of Waterloo,university_of_waterloo_logo,6 KB ,a
Mcgill University ,mcgill_university_logo,15 KB ,a
G. Narayanamma Institute of Technology and Sciences,GNITS_Hyderabad_logo,25 KB ,a